,cc,coh,coh_freq,exp_n,musician,riot_type,factor1,factor2
246,0.07557412813009086,0.7482307124900756,1.3671875,21,Piano,head,close,Yes
247,0.023474743457804193,0.6950622860760536,37.59765625,21,Piano,leg,close,Yes
248,0.027913258882090827,0.7699226074144779,16.69921875,21,Drum,head,close,Yes
249,0.05069753121243357,0.782242151822781,41.9921875,21,Drum,leg,close,Yes
250,0.04389867274331805,0.6037693487966512,5.2734375,21,Clarinet,head,close,Yes
251,0.24619872469932247,0.9877464025877881,1.26953125,21,Clarinet,leg,close,Yes
252,0.04335181235715625,0.6244093986316053,26.171875,22,Sax,head,low,No
253,0.13475132598959425,0.9600637113121766,3.02734375,22,Sax,leg,low,No
254,0.12400660774265974,0.8834174665418979,0.68359375,22,Accordion,head,low,No
255,0.15852954282132292,0.9631253340930015,1.26953125,22,Accordion,leg,low,No
256,0.053166401547724264,0.7611586484102774,5.56640625,22,Cello,head,low,No
257,0.04181393816155376,0.6623603089627668,4.98046875,22,Cello,leg,low,No
258,0.08013333960097006,0.7353338604927248,16.50390625,22,Piano,head,low,No
259,0.09744065263508903,0.6585823381417835,36.42578125,22,Piano,leg,low,No
260,0.06703840672488567,0.8420988193836944,4.1015625,22,Drum,head,low,No
261,0.02286687949314291,0.6173520157813944,22.36328125,22,Drum,leg,low,No
262,0.03592010173007561,0.7025626490078655,20.703125,22,Clarinet,head,low,No
263,0.14972789956857516,0.9272496764720384,1.3671875,22,Clarinet,leg,low,No
264,0.03729735114990039,0.7425059782375296,45.80078125,23,Sax,head,same,No
265,0.15380798388860123,0.9559496629410345,1.46484375,23,Sax,leg,same,No
266,0.09067539516023164,0.8058905811156193,2.63671875,23,Accordion,head,same,No
267,0.11977451783390179,0.9250737119329859,1.3671875,23,Accordion,leg,same,No
268,0.09549525158081625,0.9488156657344322,5.6640625,23,Cello,head,same,No
269,0.18125435808789667,0.9134349889045852,5.6640625,23,Cello,leg,same,No
270,0.04536152026187992,0.6444783580264675,41.40625,23,Piano,head,same,No
271,0.057574232083879594,0.8085633576331087,2.83203125,23,Piano,leg,same,No
272,0.02749849352034476,0.7325646059265457,2.83203125,23,Drum,head,same,No
273,0.06474183191659902,0.8253604979149936,9.86328125,23,Drum,leg,same,No
274,0.031994125390266054,0.6750747104289625,22.65625,23,Clarinet,head,same,No
